abstract,lead_paragraph,headline,headline_main,abstract_polarity,abstract_subjectivity,lead_paragraph_polarity,lead_paragraph_subjectivity,headline_polarity,headline_subjectivity,year,month
"President Obama will make stops in north-central Ohio and plans to discuss “the choice in this election between two fundamentally different visions of how to grow the economy, create middle-class jobs and pay down the debt,” according to his campaign.","MANSFIELD, Ohio – As polls in this battleground state and nationally continue to show voters split over President Obama’s stewardship of the economy, Mr. Obama on Wednesday is making his ninth visit this year to Ohio to contrast his vision for the nation’s future with that of his Republican rival, Mitt Romney.","{'main': 'Obama Heads to Ohio Battleground, Again', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","Obama Heads to Ohio Battleground, Again",-0.07777777777777778,0.4444444444444444,0.0,0.125,0.0,0.0,2012,8
"Despite an advantage on the economy for Mitt Romney, personal appeal is helping President Obama, according to Quinnipiac University/New York Times/CBS News surveys.","President Obama is struggling to convince voters that he deserves to win re-election based on his handling of the economy, but his empathy and personal appeal give him an edge over Mitt Romney in Ohio, Florida and Pennsylvania, according to Quinnipiac University/New York Times/CBS News polls.","{'main': 'New Polls in Three Battleground States Show Obama Edge', 'kicker': None, 'content_kicker': None, 'print_headline': 'New Polls Show Obama Has Edge In 3 Large States', 'name': None, 'seo': None, 'sub': None}",New Polls in Three Battleground States Show Obama Edge,0.0,0.3,0.4,0.35,0.13636363636363635,0.45454545454545453,2012,8
"Representative Laura Richardson, Democrat of California, has agreed to be punished by the House and to pay a $10,000 fine for compelling her Congressional staff members to work on her 2010 campaign.","WASHINGTON — Representative Laura Richardson, Democrat of California, has agreed to be reprimanded by the House and pay a $10,000 fine for compelling her Congressional staff members to work on her 2010 campaign.","{'main': 'Democrat Reprimanded for Misusing Staff in Race', 'kicker': None, 'content_kicker': None, 'print_headline': 'Democrat Reprimanded For Misusing Staff in Race', 'name': None, 'seo': None, 'sub': None}",Democrat Reprimanded for Misusing Staff in Race,0.35833333333333334,0.55,0.35833333333333334,0.55,0.0,0.0,2012,8
"More colleges and universities are using YouTube to reach prospective students, allowing students opportunities to improve their college searches and strengthen their applications.","It’s a rite of passage every year — students from across the world power up their computers and begin to research the colleges of their dreams. With thousands of prospective students starting to think about preparing their applications, smart colleges are realizing that, while simple Web sites and information packets worked well enough in the past, the new generation needs new ways of access. ","{'main': 'A YouTube Introduction to College, by Just Clicking Play', 'kicker': 'The Choice', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","A YouTube Introduction to College, by Just Clicking Play",0.5,0.5,0.033858998144712424,0.3941558441558442,0.0,0.0,2012,8
"Political news from today’s Times and around the Web, plus a look at the latest happenings in Washington.",Today’s Times,"{'main': 'The Early Word: Insurgency', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",The Early Word: Insurgency,0.25,0.5,0.0,0.0,0.1,0.3,2012,8
"The president’s chances of victory in the Electoral College improved, mostly because of new government data showing faster growth in personal income.","President Obama’s chances of winning the Electoral College improved slightly on Tuesday, to 69.0 percent from 66.9 percent one day earlier, according to the FiveThirtyEight forecast model. The change was because of new government data showing faster growth in personal income, one of the seven economic data series that our forecast model uses.","{'main': 'July 31: Obama Forecast Improves on Data Showing Faster Income Growth', 'kicker': 'FiveThirtyEight', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",July 31: Obama Forecast Improves on Data Showing Faster Income Growth,0.21212121212121213,0.4181818181818182,0.11161616161616161,0.39520202020202017,0.0,0.0,2012,8
"Ted Cruz won a Republican runoff election after more than a year of street campaigning, and his victory is all but assured in November.","HOUSTON — As a teenager, Ted Cruz was an intense and eloquent parser of free-market economics, dazzling Rotary Clubs here in Houston by reciting the Constitution. At Princeton, he was a champion debater and an intellectual leader of a band of conservative students. He was a star at Harvard Law School and clerked for the chief justice of the United States.","{'main': 'A Republican Voice With Tea Party Mantle and Intellectual Heft', 'kicker': 'Man in the News| Rafael Edward Cruz', 'content_kicker': None, 'print_headline': 'A Republican Voice With Tea Party Mantle And Intellectual Heft', 'name': None, 'seo': None, 'sub': None}",A Republican Voice With Tea Party Mantle and Intellectual Heft,0.5,0.5,0.4166666666666667,0.7999999999999999,0.3,0.4,2012,8
"Pennsylvania, whose 20 electoral votes have long been among the most closely watched states in the race for the White House, is now rated as leaning Democratic, according to the latest New York Times ranking of presidential battlegrounds.","Pennsylvania, whose 20 electoral votes have long been among the most closely watched in the race for the White House, is now rated as Leaning Democratic, according to the latest New York Times ranking of presidential battlegrounds.","{'main': 'The Electoral Map: Pennsylvania Now Leaning Democratic', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",The Electoral Map: Pennsylvania Now Leaning Democratic,0.21727272727272728,0.45090909090909087,0.21727272727272728,0.45090909090909087,0.0,0.0,2012,8
"The high school students, both 16, died last year after training in high temperatures, and their families say they want to raise awareness and hold school officials accountable.","MIAMI — As high school football players around the country gear up for practices in the searing heat, two families in Southern states whose sons died last summer after strenuous workouts are suing in hopes of holding school officials accountable.","{'main': 'Families of Athletes to Sue Over Heat-Related Deaths', 'kicker': None, 'content_kicker': None, 'print_headline': 'Families of Athletes to Sue Over Heat-Related Deaths', 'name': None, 'seo': None, 'sub': None}",Families of Athletes to Sue Over Heat-Related Deaths,0.10666666666666667,0.38222222222222224,0.05333333333333334,0.20222222222222222,0.0,0.0,2012,8
House Republican leaders say they would be willing to interrupt the August recess to address fiscal issues — but not for a deal that would raise taxes on those with high incomes.,House Republican leaders — on the verge of a monthlong August recess — told the Senate they stand ready to pull the House back into session to reach agreement on legislation to avert the expiration of tax cuts and the imposition of across-the-board defense cuts set to begin in January. ,"{'main': 'Republicans Would Interrupt Recess, On Their Own Terms', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","Republicans Would Interrupt Recess, On Their Own Terms",0.20500000000000002,0.645,0.10000000000000002,0.4666666666666666,0.6,1.0,2012,8
"The Romney campaign said Tuesday that it would reveal its vice-presidential pick not by e-mail, text message or online video, but through a first-of-its kind mobile phone app called “Mitt’s VP.”","The Romney campaign said Tuesday that it would reveal its vice-presidential pick not by e-mail, text message or online video, but through a first-of-its kind mobile phone app called “Mitt’s VP.”","{'main': 'Announcing a Ticket? There’s an App for That', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Announcing a Ticket? There’s an App for That,0.6,0.9,0.6,0.9,0.0,0.0,2012,8
