abstract,lead_paragraph,headline,headline_main,abstract_polarity,abstract_subjectivity,lead_paragraph_polarity,lead_paragraph_subjectivity,headline_polarity,headline_subjectivity,year,month
"The Department of Defense has identified 4,046 American service members who have died since the start of the Iraq war. It confirmed the death of the following American on Wednesday:.","The Department of Defense has identified 4,046 American service members who have died since the start of the Iraq war. It confirmed the death of the following American on Wednesday:","{'main': 'Names of the Dead', 'kicker': None, 'content_kicker': None, 'print_headline': 'Names of the Dead', 'name': None, 'seo': None, 'sub': None}",Names of the Dead,0.1,0.275,0.1,0.275,-0.2,0.4,2008,5
The increase in motor vehicles has exhausted the 10.6 million or so combinations of characters on the state’s six-digit plates.,"As people have rushed to Arizona in the past decade like water to a drain, the state has faced problems familiar to bigger states  crowded schools, urban sprawl and jammed freeways.","{'main': 'Arizona Adds Digit to License Plates to Keep Up With Growth', 'kicker': None, 'content_kicker': None, 'print_headline': 'Arizona Adds Digit to License Plates to Keep Up With Growth', 'name': None, 'seo': None, 'sub': None}",Arizona Adds Digit to License Plates to Keep Up With Growth,-0.4,0.7,0.004999999999999999,0.37,0.0,0.0,2008,5
"Not all television stations are benefitting from a torrent of cash, just those in places where the Democratic race is particularly hot.","In theory, the gush of political ads should be a bonanza for television stations around the country, especially in this troubled economic climate.","{'main': 'Political Spending Not Benefitting TV Stations Yet', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Political Spending Not Benefitting TV Stations Yet,0.25,0.8500000000000001,-0.075,0.5750000000000001,0.0,0.1,2008,5
"Barack Obama’s aura of inevitability has faded, according to the latest New York Times/CBS News Poll.","WASHINGTON  Senator Barack Obama’s aura of inevitability in the battle for the Democratic presidential nomination has diminished after his loss in the Pennsylvania primary and amid the furor over his former pastor, according to the latest New York Times/CBS News Poll. ","{'main': 'Loss and Furor Take Toll on Obama, Poll Finds', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ex-Pastor Controversy and Loss in Pennsylvania Take Toll on Obama, Poll Finds', 'name': None, 'seo': None, 'sub': None}","Loss and Furor Take Toll on Obama, Poll Finds",0.3181818181818182,0.6772727272727272,0.2590909090909091,0.4636363636363636,0.0,0.0,2008,5
A group of House superdelegates put their candidate preferences aside to promote a general Democratic platform of ending the Iraq War.,Are we dreaming? Superdelegates in agreement? ,"{'main': 'Superdelegates Unite Against Iraq War', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Superdelegates Unite Against Iraq War,0.05000000000000002,0.5,0.0,0.0,0.0,0.0,2008,5
The lawsuit centers on the issue of whether veterans with mental health problems are neglected or whether their sheer numbers are overwhelming the system.,SAN FRANCISCO  The issue of whether veterans with mental health problems are neglected or whether their sheer numbers are overwhelming the system divided closing arguments on Wednesday in a class-action lawsuit in federal court here. ,"{'main': 'Closing Arguments in Suit on Veterans’ Mental Care', 'kicker': None, 'content_kicker': None, 'print_headline': 'Closing Arguments in Suit On Veterans’ Mental Care', 'name': None, 'seo': None, 'sub': None}",Closing Arguments in Suit on Veterans’ Mental Care,0.13333333333333333,0.65,0.13333333333333333,0.65,-0.1,0.2,2008,5
Barack Obama supporters abroad are taking his message of unity and bridging gaps to world-famous bridges.,"As she kept up to date about the presidential race back home, Meredith Wheeler noticed a recurring theme in the press coverage of Barack Obama, her favorite candidate. ","{'main': 'Democrats Abroad Say, ‘Yes We Span’', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","Democrats Abroad Say, ‘Yes We Span’",0.0,0.0,0.25,0.5,0.0,0.0,2008,5
"At the University of Arkansas in Little Rock, a law professor has sued two of his students, alleging that they defamed him by unfairly describing him as a racist.","For some law students, brass-knuckled litigation starts before they even finish school.","{'main': 'Law Professor Accuses Students of Defamation', 'kicker': None, 'content_kicker': None, 'print_headline': 'Law Professor Accuses 2 Students of Defamation', 'name': None, 'seo': None, 'sub': None}",Law Professor Accuses Students of Defamation,-0.34375,0.75,0.0,0.0,0.0,0.0,2008,5
"Also, President Mahmoud Ahmadinejad of Iran told reporters that he believed that neither Hillary Clinton nor Senator Barack Obama had a chance of winning the election.","TEHRAN — Iran has lodged a formal protest at the United Nations about comments by Senator Hillary Rodham Clinton that the United States would “totally obliterate” Iran if it attacked Israel with nuclear weapons, the state-run news agency, IRNA, reported Thursday.","{'main': 'Iran Protests to U.N. About Clinton Comments', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Iran Protests to U.N. About Clinton Comments,0.5,0.75,0.0,0.75,0.0,0.0,2008,5
"Joe Andrew, a superdelegate, announced he had switched his allegiance from Senator Hillary Rodham Clinton.","Joe Andrew, a superdelegate who was the Democratic National Committee chairman under President Bill Clinton, announced Thursday that he had switched his allegiance from Senator Hillary Rodham Clinton to Senator Barack Obama in the race for the presidential nomination.","{'main': 'Former D.N.C. Chairman Backs Obama', 'kicker': None, 'content_kicker': None, 'print_headline': 'Democratic Chief Under Bill Clinton Backs Obama', 'name': None, 'seo': None, 'sub': None}",Former D.N.C. Chairman Backs Obama,0.0,0.0,0.0,0.0,0.0,0.0,2008,5
Minnesota legislators said that they had reached an agreement on a $37 million plan to compensate victims of the highway bridge that collapsed last August.,"Minnesota legislators announced on Friday that they had reached an agreement on a $38 million plan to compensate victims of the highway bridge that collapsed last August in Minneapolis, killing 13 people and injuring 145.","{'main': 'Fund Set for Minneapolis Bridge Collapse Victims', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Fund Set for Minneapolis Bridge Collapse Victims,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,2008,5
"In San Francisco’s Chinatown, the price of rice has skyrocketed amid fears that an international shortage will spill into the United States.","SAN FRANCISCO  Along Stockton Street, the bustling heart of Chinatown, there is no lack of eye-popping products and equally eye-popping prices paid for them. Dried toad goes for $42 a ounce, deer tail about $350 apiece, and abalone $428 a pound, a Mother’s Day special.","{'main': 'A Run on Rice in Asian Communities', 'kicker': 'San Francisco Journal', 'content_kicker': None, 'print_headline': 'Fears of a Shortage Spur a Run on Rice in Asian Communities', 'name': None, 'seo': None, 'sub': None}",A Run on Rice in Asian Communities,0.0,0.0,0.05238095238095238,0.47380952380952374,0.0,0.0,2008,5
Senator Barack Obama sought to steer the campaign conversation back to the economy.,"INDIANAPOLIS  Senator Barack Obama sought on Wednesday to set aside the controversy over his former pastor, the Rev. Jeremiah Wright Jr., and steer the conversation in the Democratic presidential campaign back to the economy.","{'main': 'After Break With Ex-Pastor, Obama Tries to Move On', 'kicker': None, 'content_kicker': None, 'print_headline': 'After Breaking With Ex-Pastor, Obama Tries to Move On', 'name': None, 'seo': None, 'sub': None}","After Break With Ex-Pastor, Obama Tries to Move On",0.0,0.0,0.0,0.0,-0.1,0.4,2008,5
Police officials said that new technology and training would prevent a repeat of the melee that concluded pro-immigration demonstrations last year.,"LOS ANGELES  A day before thousands are expected to converge here as part of the annual May Day pro-immigration rallies nationwide, police officials said Wednesday that new technology, training for officers and better communication would prevent a repeat of the melee that concluded demonstrations in Los Angeles last year.","{'main': 'Los Angeles Police Expect Calm at Immigration Rally', 'kicker': None, 'content_kicker': None, 'print_headline': 'Los Angeles Police Expect Calm at Immigration Rally', 'name': None, 'seo': None, 'sub': None}",Los Angeles Police Expect Calm at Immigration Rally,0.06818181818181818,0.2606060606060606,0.1340909090909091,0.3553030303030303,0.30000000000000004,0.75,2008,5
"More than three million Latin American immigrants in the U.S. have stopped sending remittances, a survey said."," In a sign that the economic downturn is hitting hard among Latino immigrants, more than three million of them stopped sending money to families in their home countries during the last two years, the Inter-American Development Bank said on Wednesday. ","{'main': 'Fewer Latino Immigrants Sending Money Home', 'kicker': None, 'content_kicker': None, 'print_headline': 'Fewer Latinos In U.S. Sending Money Home', 'name': None, 'seo': None, 'sub': None}",Fewer Latino Immigrants Sending Money Home,0.25,0.25,0.10208333333333333,0.32708333333333334,0.0,0.0,2008,5
"More than three million Latin American immigrants in the U.S. have stopped sending remittances, a survey said."," More than three million Latin American immigrants in the United States, responding to the economic downturn and new uncertainties about their future, have stopped sending money home to their families in the last two years, according to a survey released on Wednesday by the Inter-American Development Bank in Washington. ","{'main': 'Fewer Latino Immigrants Send Money Home', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Fewer Latino Immigrants Send Money Home,0.25,0.25,0.13939393939393938,0.22436868686868686,0.0,0.0,2008,5
"The Senate formally declared that one of its own, John McCain, is qualified to be president — at least from a citizenship perspective.",WASHINGTON  The Senate on Wednesday delivered its judgment on a constitutional question involving one of its own and formally declared that Senator John McCain is eligible to be president  at least from a citizenship perspective.,"{'main': 'Senate Says McCain Is Qualified', 'kicker': None, 'content_kicker': None, 'print_headline': 'Senate Says McCain Is Eligible', 'name': None, 'seo': None, 'sub': None}",Senate Says McCain Is Qualified,0.15,0.7,0.15,0.7,0.0,0.0,2008,5
"Senator Barack Obama’s falling out with his former pastor was long and painful, say friends and aides.","Late Monday night, in the Carolina Inn in Chapel Hill, N.C., Barack Obama’s long, slow fuse burned to an end. Earlier that day he had thumbed through his BlackBerry, reading accounts of the Rev. Jeremiah A. Wright Jr.’s latest explosive comments on race and America. But his remarks to the press this day had amounted to a shrug of frustration.","{'main': 'A Strained Wright-Obama Bond Finally Snaps', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Strained Wright-Obama Bond Finally Snaps', 'name': None, 'seo': None, 'sub': None}",A Strained Wright-Obama Bond Finally Snaps,-0.25,0.43333333333333335,-0.030000000000000006,0.5599999999999999,0.0,1.0,2008,5
"During a conference call explaining his decision, the former Democratic National Committee chairman also said he would advocate Barack Obama choose Senator Evan Bayh or someone else from the “other side” as a running mate."," Calling the decision to endorse Senator Barack Obama “a very heartfelt and very personal decision for me,” Joe Andrew, who was the Democratic National Committee chairman and a former superdelegate for Hillary Rodham Clinton, is pledging his allegiance to the Obama camp.","{'main': 'Andrew Explains Switch to Obama', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Andrew Explains Switch to Obama,-0.0625,0.1875,0.0,0.4633333333333334,0.0,0.0,2008,5
Hillary Rodham Clinton’s latest North Carolina ad stars Gov. Mike Easley.,"Looking to maximize one of her key endorsements, Hillary Rodham Clinton is up with a new ad in North Carolina featuring Gov. Mike Easley, who endorsed Mrs. Clinton on Tuesday.","{'main': 'N.C. Governor in Clinton Ad', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",N.C. Governor in Clinton Ad,0.5,0.9,0.06818181818181818,0.7272727272727273,0.0,0.0,2008,5
"If the Democrats can’t defeat Republican Representative Jon Porter this fall in a district where they now have a lead of 22,500 voter registrants, Mr. Porter may pose a serious threat to the 2010 re-election hopes of Senator Harry Reid.",It is not just that Democrats sensed that a chance to pick up a vulnerable House seat in Nevada could be slipping through their fingers. And it’s not just that they couldn’t bear to have a little-known openly gay accountant who moved to Nevada just three years ago as their standard bearer in a heavily Mormon district.,"{'main': 'Saving Harry Reid?', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Saving Harry Reid?,-0.3333333333333333,0.6666666666666666,-0.07666666666666666,0.33666666666666667,0.0,0.0,2008,5
"The McCain campaign acknowledged that for some workers, a tax credit would not offset eliminating tax breaks on employer-provided health benefits.","ALLENTOWN, Pa.  Though Senator John McCain has promised to not raise taxes, his campaign acknowledged Wednesday that the health plan he outlined this week would have the effect of increasing tax payments for some workers, primarily those with high incomes and expensive health plans.","{'main': 'McCain Health Plan Could Mean Higher Tax', 'kicker': None, 'content_kicker': None, 'print_headline': 'McCain Health Plan Could Mean Higher Tax', 'name': None, 'seo': None, 'sub': None}",McCain Health Plan Could Mean Higher Tax,0.0,0.0,0.020000000000000018,0.58,-0.03125,0.59375,2008,5
The Indiana and North Carolina primaries are perhaps the best chance yet for Hillary Rodham Clinton to prove that she is the stronger candidate.,"LAFAYETTE, Ind.  Pumped up and focused, Senator Hillary Rodham Clinton is putting in 16-hour days in Indiana this week as if she  and not her embattled rival, Senator Barack Obama  needs a campaign-changing moment in Tuesday’s primary here.","{'main': 'While Clinton Focuses, Obama Is Distracted', 'kicker': None, 'content_kicker': None, 'print_headline': 'While Clinton Focuses, Obama Is Distracted', 'name': None, 'seo': None, 'sub': None}","While Clinton Focuses, Obama Is Distracted",1.0,0.3,0.4,0.5,0.0,0.0,2008,5
Some Democratic superdelegates said that the controversy over Senator Barack Obama’s former pastor gave them pause.,"Senator Barack Obama picked up several endorsements by Democratic superdelegates on Wednesday in his presidential campaign, as some party leaders tried to assess the damage done to his candidacy by the controversy over his former pastor, the Rev. Jeremiah A. Wright Jr.","{'main': 'Wright Remains a Concern for Some Democrats', 'kicker': None, 'content_kicker': None, 'print_headline': 'Obama Picks Up Support, but Wright Remains a Worry', 'name': None, 'seo': None, 'sub': None}",Wright Remains a Concern for Some Democrats,0.0,0.0,0.0,0.0,0.0,0.0,2008,5
"At least 41 children seized from a polygamist ranch in West Texas in April have had broken bones, and some young boys may have been sexually abused, Texas officials said.","At least 41 children seized from a polygamist ranch in West Texas in April have had broken bones, and some young boys may have been sexually abused, Texas officials said Wednesday. ","{'main': 'Texas Reports Added Signs of Abuse at Sect’s Ranch', 'kicker': None, 'content_kicker': None, 'print_headline': 'Texas Reports Further Signs Of Abuse at Sect’s Ranch', 'name': None, 'seo': None, 'sub': None}",Texas Reports Added Signs of Abuse at Sect’s Ranch,-0.024999999999999994,0.5083333333333334,-0.024999999999999994,0.5083333333333334,0.0,0.0,2008,5
"The latest New York Times/CBS News Poll is based on telephone interviews conducted Apr. 25 through Apr. 29 with 1,065 adults throughout the United States.","The latest New York Times/CBS News Poll is based on telephone interviews conducted Apr. 25 through Apr. 29 with 1,065 adults throughout the United States.","{'main': 'How the Poll Was Conducted', 'kicker': None, 'content_kicker': None, 'print_headline': 'How the Poll Was Conducted', 'name': None, 'seo': None, 'sub': None}",How the Poll Was Conducted,0.3181818181818182,0.6772727272727272,0.3181818181818182,0.6772727272727272,0.0,0.0,2008,5
"Joe Andrew, a former D.N.C. chairman, will announce his support for Barack Obama at an Indianapolis news conference Thursday.","Barack Obama will score a double coup this morning when he receives the endorsement of Joe Andrew, a former chairman of the Democratic National Committee appointed by Bill Clinton — and, yep, an Indiana native. ","{'main': 'The Early Word: Former D.N.C. Chair to Support Obama', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",The Early Word: Former D.N.C. Chair to Support Obama,0.0,0.0,0.0,0.0,0.05,0.15,2008,5
Barack Obama will present the “Top 10 Most Surprising Things About Barack Obama” on David Letterman’s show Thursday night.,Barack Obama was such a hit on “The Late Show with David Letterman” back in January that he’s doing the late night show again Thursday night. ,"{'main': 'Obama’s Top 10 Surprises', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Obama’s Top 10 Surprises,0.425,0.375,-0.15,0.42500000000000004,0.5,0.5,2008,5
"Workers held rallies up and down the coast, blaming the war for distracting public attention and money from domestic needs like health care and education.","SEATTLE  West Coast ports were shut down on Thursday as thousands of longshoremen failed to report for work, part of what their union leaders said was a one-day, one-shift protest against the war in Iraq.","{'main': 'Union’s War Protest Shuts West Coast Ports', 'kicker': None, 'content_kicker': None, 'print_headline': 'Union’s War Protest Shuts West Coast Ports', 'name': None, 'seo': None, 'sub': None}",Union’s War Protest Shuts West Coast Ports,-0.05185185185185185,0.15185185185185188,-0.3277777777777778,0.29444444444444445,0.0,0.0,2008,5
"A former cameraman for Al Jazeera who was believed to be the only journalist held at Guantánamo Bay, Cuba, was released after more than six years of detention.","A former cameraman for Al Jazeera who was believed to be the only journalist held at Guantánamo Bay was released on Thursday, after more than six years of detention that made him one of the best known Guantánamo detainees in the Arab world, his lawyers said.","{'main': 'Cameraman Is Released From Guantánamo', 'kicker': None, 'content_kicker': None, 'print_headline': 'Cameraman Is Released From Guantánamo', 'name': None, 'seo': None, 'sub': None}",Cameraman Is Released From Guantánamo,0.16666666666666666,0.5,0.375,0.45,0.0,0.0,2008,5
"Stung by the defection of Joe Andrews to the Obama camp, the Clinton campaign released a letter of support from seven other former D.N.C. chairs, and from the family of an eighth.","HENDERSONVILLE, N.C. –- One day after a former Democratic National Committee chairman switched his endorsement from Senator Hillary Rodham Clinton to Senator Barack Obama, the Clinton campaign sought to reclaim ground Friday afternoon by releasing a letter from seven former D.N.C. chairs –- and the family of an eighth -– making the case for Mrs. Clinton’s candidacy to Democratic Party leaders.","{'main': 'Clinton Touts Support From Former D.N.C. Chiefs', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Clinton Touts Support From Former D.N.C. Chiefs,-0.0625,0.1875,0.0,0.0,0.0,0.0,2008,5
Among the many Clinton-inspired products Hillary Clinton was asked to sign Thursday was a T-shirt that appeared to contain a large reproduction of Jesus Christ — except that close inspection revealed the Savior bore the face of … Bill Clinton!,"Presidential candidates get hundreds, maybe thousands of requests for their autograph in a given day on the stump. Inevitably, they are asked to sign items bearing their names or likeness. Yet none more so than Senator Hillary Rodham Clinton, who has inspired all manner of posters, night gowns, T-shirts, bibs and whatnot over the years.","{'main': 'Clinton: I’m an Economic Engine!', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Clinton: I’m an Economic Engine!,0.3839285714285714,0.4642857142857143,0.25,0.75,0.25,0.2,2008,5
Iran lodged a protest at the U.N. over comments from Hillary Clinton that the U.S. would “totally obliterate” Iran if it staged a nuclear attack on Israel.,"TEHRAN  Iran has lodged a formal protest at the United Nations about comments by Senator Hillary Rodham Clinton that the United States would “totally obliterate” Iran if it attacked Israel with nuclear weapons, the state-run news agency, IRNA, reported Thursday. ","{'main': 'Iran Protests Clinton Words', 'kicker': None, 'content_kicker': None, 'print_headline': 'Iran Protests Clinton Words', 'name': None, 'seo': None, 'sub': None}",Iran Protests Clinton Words,0.0,0.75,0.0,0.75,0.0,0.0,2008,5
"Barack Obama continues to pick up superdelegates, leaving his opponent with dwindling options.",INDIANAPOLIS  Have Senator Hillary Rodham Clinton’s chances of winning the Democratic presidential nomination improved as Senator Barack Obama has struggled through his toughest month of this campaign? ,"{'main': 'Clinton May Be Hopeful, but Obama Rolls On', 'kicker': 'Political Memo', 'content_kicker': None, 'print_headline': 'Clinton May Be Hopeful, but Obama Rolls On', 'name': None, 'seo': None, 'sub': None}","Clinton May Be Hopeful, but Obama Rolls On",0.0,0.0,0.5,0.75,0.0,0.0,2008,5
Thousands of dockworkers at West Coast ports stayed off the job on Thursday in what their union said was a call for an end to the war in Iraq.,Thousands of dockworkers at West Coast ports stayed off the job on Thursday in what their union said was a call for an end to the war in Iraq.,"{'main': 'Dockworkers Protest Iraq War', 'kicker': None, 'content_kicker': None, 'print_headline': 'West Coast Dockworkers Stay Off Job to Protest War', 'name': None, 'seo': None, 'sub': None}",Dockworkers Protest Iraq War,0.0,0.0,0.0,0.0,0.0,0.0,2008,5
"The crowds seemed smaller than at comparable rallies in past years, with the turnout apparently depressed by fear of arrest.","Thousands of supporters of immigrant rights gathered in more than a dozen cities on Thursday afternoon. But the crowds seemed smaller than at comparable events in past years, with the turnout apparently depressed by fear of arrest. ","{'main': 'Crowds Smaller at Immigrant Rallies', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Crowds Smaller at Immigrant Rallies,-0.0625,0.275,0.05,0.32,0.0,0.5,2008,5
Parishioners in North Carolina were not as sympathetic as black ministers to the Rev. Jeremiah A. Wright Jr.,"LUMBERTON, N.C.  The Rev. Jeremiah A. Wright Jr., under fire for statements that have embarrassed Senator Barack Obama’s campaign, has found staunch support in the pulpits of black churches around North Carolina. The people in the pews, however, are far less accepting.","{'main': 'A Pulpit-and-Pews Gulf on Obama’s Ex-Pastor', 'kicker': None, 'content_kicker': None, 'print_headline': 'Between the Pulpit and Pews, A Gulf on Obama’s Ex-Pastor', 'name': None, 'seo': None, 'sub': None}",A Pulpit-and-Pews Gulf on Obama’s Ex-Pastor,0.16666666666666669,0.7166666666666667,-0.07777777777777777,0.5,0.0,0.0,2008,5
Democratic successes in two upcoming special House races could be interpreted as evidence that Barack Obama’s candidacy is not an anchor for his party.,"WASHINGTON  Most Americans have never heard of Don Cazayoux or Travis Childers, two Southern politicians with names that could have been lifted from a John Grisham novel. But the electoral fate of those two gentlemen could be of some consequence in the ongoing presidential race.","{'main': 'Special House Elections Could Reflect on Obama', 'kicker': 'On the Hill', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Special House Elections Could Reflect on Obama,0.35714285714285715,0.5714285714285714,0.25,0.25,0.35714285714285715,0.5714285714285714,2008,5
Clinton receives the endorsement of the Indianapolis newspaper.,"Barack Obama continued to gain on Hillary Rodham Clinton in the superdelegate count Thursday. One of those endorsers, Joe Andrew, a former Democratic National Committee chairman from Indiana, who switched his allegiance from Mrs. Clinton to Mr. Obama, particularly is raising questions about the effectiveness of Indiana Sen. Evan Bayh as a Clinton surrogate. ","{'main': 'The Early Word: Indiana', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",The Early Word: Indiana,0.0,0.0,0.08333333333333333,0.16666666666666666,0.1,0.3,2008,5
The record is attributed to strong returns on foundation assets and to the fact that donations to foundations also reached all-time-high levels.,"Giving by foundations set a record last year, hitting almost $43 billion, compared with $39 billion in 2006, according to estimates by the Foundation Center.","{'main': 'Foundations Set Record for Giving in ’07', 'kicker': None, 'content_kicker': None, 'print_headline': 'Foundations Set Record for Giving in ’07', 'name': None, 'seo': None, 'sub': None}",Foundations Set Record for Giving in ’07,0.43333333333333335,0.7333333333333334,-0.05,0.08333333333333334,0.0,0.0,2008,5
"The Democratic candidate acknowledges rough few weeks, and meets with major donors.",INDIANAPOLIS – Senator Barack Obama stood before dozens of his biggest contributors here today at a meeting of his national finance committee to outline the state of his candidacy as the Democratic nominating contest enters a final month of primaries.,"{'main': 'Obama: Voters Don’t Want Drama', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Obama: Voters Don’t Want Drama,-0.07916666666666668,0.3333333333333333,0.0,1.0,0.0,0.0,2008,5
"About two dozen teachers across Oakland set aside their normal lesson plans in favor of topics like the war in Iraq, racial inequality and a recent 10 percent cut in the state schools budget.","OAKLAND, Calif.  Third period at Paul Robeson High School in East Oakland was pretty much what you might expect on a sunny Thursday afternoon at the end of the term: distracted students, talk of graduation and nearly silent response to teachers’ questions.","{'main': 'Oakland Teach-In Looks at Budget Cuts and the War', 'kicker': None, 'content_kicker': None, 'print_headline': 'Oakland Teach-In Looks at Budget Cuts and the War', 'name': None, 'seo': None, 'sub': None}",Oakland Teach-In Looks at Budget Cuts and the War,0.075,0.44999999999999996,0.12200000000000003,0.368,0.0,0.0,2008,5
Hillary Rodham Clinton bared a little personality in an interview with People magazine.,"Hillary Rodham Clinton is still eating jalapenos, she follows the practical advice given by ladies’ magazines, and she’d hang out with Abraham Lincoln if she could go on a date with any famous person, alive or dead. ","{'main': 'Clinton Dishes to People Magazine', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Clinton Dishes to People Magazine,-0.1875,0.5,0.13333333333333333,0.6,0.0,0.0,2008,5
Democratic successes in two upcoming special House races could be interpreted as evidence that Barack Obama’s candidacy is not an anchor for his party.,"In his Web column today, Carl Hulse writes that the outcome of two upcoming special House elections in the South could have implications for Barack Obama’s presidential campaign, as Republicans have tried to tie the local candidates to the Illinois senator. Go to column","{'main': 'Special House Elections Could Reflect on Obama', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Special House Elections Could Reflect on Obama,0.35714285714285715,0.5714285714285714,0.17857142857142858,0.2857142857142857,0.35714285714285715,0.5714285714285714,2008,5
"Senators John McCain and Hillary Rodham Clinton favor a suspension of the federal excise tax on gasoline for the summer, while many from both parties oppose it.","DES MOINES  Senators John McCain and Hillary Rodham Clinton found themselves taking a lonely stand on the campaign trail Thursday, defending the proposed gasoline-tax holiday while critics from both parties lined up against it.","{'main': 'Unlikely Allies Campaign for a Gas-Tax Holiday', 'kicker': None, 'content_kicker': None, 'print_headline': 'Unlikely Allies Campaign For a Gas-Tax Holiday', 'name': None, 'seo': None, 'sub': None}",Unlikely Allies Campaign for a Gas-Tax Holiday,0.5,0.5,-0.09999999999999998,0.7,-0.5,0.5,2008,5
Barack Obama rolls out another superdelegate — but it’s one some news organizations have already counted for him.,"Barack Obama’s campaign on Friday announced the official endorsement of Paul G. Kirk, a Massachusetts superdelegate who was chairman of the Democratic National Committee in the late 1980s.","{'main': 'Superdelegate News, or Not', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","Superdelegate News, or Not",0.0,0.0,-0.3,0.6,0.0,0.0,2008,5
"Obama advisers say they believe Senator Clinton may be overplaying her hand on the tax issue; while it may sound good to voters in Tuesday’s primaries in Indiana and North Carolina, it may drive a wedge between her and the superdelegates she is trying to win over in her nomination fight against Senator Barack Obama.","Updated KINSTON, N.C. -– Senator Hillary Rodham Clinton’s decision to take on members of Congress over her proposal for a federal gas tax holiday this summer -– “are they with us or against us” –- is tempting fate a bit, as she risks antagonizing uncommitted superdelegates who are members of Congress and who oppose the tax holiday.","{'main': 'Clinton Presses on Gas Tax Holiday', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Clinton Presses on Gas Tax Holiday,0.6333333333333334,0.4666666666666666,0.0,0.0,0.0,0.0,2008,5
Hillary Rodham Clinton’s struggle to operate a gas station latte machine is the latest political hit on YouTube.,"After holding a press event at a South Bend, Ind., gas station Wednesday, Hillary Rodham Clinton found a convenience store cappuccino machine, well, a little less convenient than she would have liked. ","{'main': 'Friday Happy Hour: Clinton vs. Coffee', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Friday Happy Hour: Clinton vs. Coffee,0.25,0.5,0.08194444444444444,0.45555555555555555,0.8,1.0,2008,5
