abstract,lead_paragraph,headline,headline_main,abstract_polarity,abstract_subjectivity,lead_paragraph_polarity,lead_paragraph_subjectivity,headline_polarity,headline_subjectivity,year,month
"Hurricane Gustav is, in many ways, a bad break for Republicans, but it has provided some opportunities that the McCain campaign has aggressively seized without appearing to be acting politically.","In his Web column today, Adam Nagourney writes that while Hurricane Gustav is, in many ways, a bad break for Republicans, it has provided some opportunities that the McCain campaign has aggressively seized without appearing to be acting politically.","{'main': 'As a Storm Swirls, a Campaign Sharpens Focus', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","As a Storm Swirls, a Campaign Sharpens Focus",-0.04999999999999996,0.31666666666666665,-0.04999999999999996,0.31666666666666665,0.0,0.0,2008,9
"Republicans cut short the first day of their national convention, issuing an appeal for help for victims of Hurricane Gustav."," ST. PAUL - Republicans cut short the first day of their national convention Monday, issuing an appeal for help for victims of Hurricane Gustav at the end of a day that opened with the surprise news that their vice presidential candidate's unmarried teenage daughter is pregnant.","{'main': 'With Focus on Storm, Scaled-Back Convention Opens', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","With Focus on Storm, Scaled-Back Convention Opens",0.125,0.31666666666666665,0.14583333333333331,0.2833333333333333,0.0,0.0,2008,9
"Governor Palin said that her daughter, five months pregnant, will marry the father.", Additional updates to this post are here.,"{'main': 'Palin’s 17-Year-Old Daughter Is Pregnant', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Palin’s 17-Year-Old Daughter Is Pregnant,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.5,2008,9
"The 17-year-old daughter of Sarah Palin, John McCain’s running mate, plans to marry the father, according to the campaign.","ST. PAUL  The 17-year-old daughter of Gov. Sarah Palin, John McCain’s running mate, is five months pregnant, the Alaskan governor announced Monday, adding a new element of tumult to a Republican convention that had already been disrupted by Hurricane Gustav.","{'main': 'Palin’s Teen Daughter Is Pregnant; New G.O.P. Tumult', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Palin’s Teen Daughter Is Pregnant; New G.O.P. Tumult,0.0,0.0,0.23484848484848483,0.4772727272727273,0.15656565656565655,0.3181818181818182,2008,9
"“Today’s not a day for political speeches. I hope you’ll forgive me. I hope you don’t mind,” Barack Obama said at a Labor Day rally in Detroit.","DETROIT – Senator Barack Obama cut short an appearance at a Labor Day rally here, calling for a moment of silence for those in the path of Hurricane Gustav. ","{'main': 'Obama Cuts Short Rally and Calls for Moment of Silence', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Obama Cuts Short Rally and Calls for Moment of Silence,0.0,0.1,0.0,0.3,0.0,0.3,2008,9
Gov. Sarah Palin owes her selection as Senator John McCain’s running mate in part to an irresistible slogan: the Bridge to Nowhere.,ST. PAUL  Gov. Sarah Palin of Alaska owes her selection as Senator John McCain’s running mate in part to an irresistible slogan: the Bridge to Nowhere.,"{'main': 'Account of a Bridge’s Death Slightly Exaggerated', 'kicker': None, 'content_kicker': None, 'print_headline': 'Account of a Bridge’s Death Slightly Exaggerated', 'name': None, 'seo': None, 'sub': None}",Account of a Bridge’s Death Slightly Exaggerated,0.0,0.0,0.0,0.0,-0.5,1.0,2008,9
"Kaylene Johnson, author of a book about Sarah Palin’s life and political career, talks about how the subject of her biography dealt with questions about her family life.","As she rose through the ranks of public life in Alaska, Gov. Sarah Palin’s discussions about her own pregnancies and the personal lives of her children were often marked by a fierce devotion to her family’s privacy, according to her biographer.","{'main': 'Biographer Recounts Palin’s Private Side', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Biographer Recounts Palin’s Private Side,-0.08333333333333333,0.21666666666666667,0.26,0.5833333333333333,0.0,0.375,2008,9
Senator Hillary Rodham Clinton’s advisers said they expected she would focus her efforts especially on working women in swing states where she ran strong.,"ST. PAUL  Advisers to Senator Hillary Rodham Clinton said on Sunday that Senator John McCain’s selection of Gov. Sarah Palin of Alaska as his running mate would lead to a greater role for Mrs. Clinton as she campaigned this fall on behalf of her former rival, Senator Barack Obama.","{'main': 'McCain’s Pick May Foster Bigger Campaign Role for Clinton', 'kicker': None, 'content_kicker': None, 'print_headline': 'McCain’s Pick May Foster Bigger Campaign Role for Clinton', 'name': None, 'seo': None, 'sub': None}",McCain’s Pick May Foster Bigger Campaign Role for Clinton,0.11111111111111112,0.7111111111111111,0.25,0.25,0.0,0.5,2008,9
"A bill to reduce suburban sprawl in California has garnered support from natural antagonists, like statewide environmental groups and associations of home builders.",The California Senate this weekend approved a bill intended to discourage the kind of sprawling suburbs and crawling traffic that have long characterized the communities where many of the state’s 38 million people live. ,"{'main': 'In California, Sprawl Bill Is Heading to Governor', 'kicker': None, 'content_kicker': None, 'print_headline': 'In California, Sprawl Bill Is Heading To Governor', 'name': None, 'seo': None, 'sub': None}","In California, Sprawl Bill Is Heading to Governor",0.05,0.2,0.296590909090909,0.575,0.0,0.0,2008,9
"Even Superman may not have been able to save the childhood home of the character’s creator, Jerry Siegel, in Cleveland, which has fallen into disrepair.","In comic books, Superman was born on Krypton and rocketed to Earth on the eve of his planet’s destruction. In real life, the Man of Steel was born more than 70 years ago in Cleveland, a creation of the writer Jerry Siegel and the artist Joe Shuster.","{'main': 'Repairing a House With Superman Ties', 'kicker': None, 'content_kicker': None, 'print_headline': 'Repairing a House With Superman Ties', 'name': None, 'seo': None, 'sub': None}",Repairing a House With Superman Ties,0.5,0.625,0.31666666666666665,0.43333333333333335,0.0,0.0,2008,9
The Republican convention plans remain upended by Hurricane Gustav.,"ST. PAUL — First Lady Laura Bush and Cindy McCain will be stopping by a breakfast here for the Louisiana delegation, although it’s unclear how many of the state’s delegates have stayed in town as Hurricane Gustav lands in their home state. ","{'main': 'The Early Word: Convention Interrupted', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",The Early Word: Convention Interrupted,0.0,0.0,0.375,0.41666666666666663,0.1,0.3,2008,9
